"Path","Name","Width","Height","Length"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_architecture.png","icon_topic_architecture.png","64","64","7967"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_astronomy.png","icon_topic_astronomy.png","64","64","8003"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_cartography.png","icon_topic_cartography.png","64","64","8073"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_education.png","icon_topic_education.png","64","64","8357"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_engineering.png","icon_topic_engineering.png","64","64","8287"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_history.png","icon_topic_history.png","64","64","8010"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_law.png","icon_topic_law.png","64","64","8219"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_literature.png","icon_topic_literature.png","64","64","7704"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_mathematics.png","icon_topic_mathematics.png","64","64","8110"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_medicine.png","icon_topic_medicine.png","64","64","8305"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_music.png","icon_topic_music.png","64","64","8111"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_mysticism.png","icon_topic_mysticism.png","64","64","7429"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_natural_history.png","icon_topic_natural_history.png","64","64","8355"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_philosophy.png","icon_topic_philosophy.png","64","64","8503"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_politics.png","icon_topic_politics.png","64","64","7955"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_theology.png","icon_topic_theology.png","64","64","8265"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\icon_topic_trade.png","icon_topic_trade.png","64","64","7957"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\map_icon_city.png","map_icon_city.png","16","16","808"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\map_icon_event.png","map_icon_event.png","16","16","710"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\map_icon_player.png","map_icon_player.png","16","16","719"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\map_icon_rival.png","map_icon_rival.png","16","16","739"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\icons\map_icon_trade.png","map_icon_trade.png","16","16","676"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\portraits\portrait_harlow.png","portrait_harlow.png","80","80","13305"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\portraits\portrait_meridian.png","portrait_meridian.png","80","80","13550"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\portraits\portrait_ossavi.png","portrait_ossavi.png","80","80","13325"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\portraits\portrait_vasara.png","portrait_vasara.png","80","80","13669"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\portraits\portrait_yildiz.png","portrait_yildiz.png","80","80","13206"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\props\prop_bench.png","prop_bench.png","192","294","56099"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\props\prop_inkquill.png","prop_inkquill.png","192","294","69263"
